latitude,longitude,county,municipality,date
24.53,120.78,苗栗縣,西湖鄉,2024/11/7
24.52,120.68,苗栗縣,通霄鎮,2024/11/7
24.57,120.75,苗栗縣,西湖鄉,2024/11/6
24.31,120.79,苗栗縣,卓蘭鎮,2024/11/6
24.43,120.71,苗栗縣,通霄鎮,2024/11/6
24.54,120.73,苗栗縣,西湖鄉,2024/11/5
24.54,120.7,苗栗縣,通霄鎮,2024/11/4
24.5,120.7,苗栗縣,通霄鎮,2024/11/4
24.45,120.8,苗栗縣,銅鑼鄉,2024/11/4
24.51,120.7,苗栗縣,通霄鎮,2024/11/4
24.49,120.75,苗栗縣,通霄鎮,2024/11/4
24.42,120.82,苗栗縣,銅鑼鄉,2024/11/4
24.43,120.73,苗栗縣,通霄鎮,2024/11/3
24.52,120.73,苗栗縣,通霄鎮,2024/11/3
24.45,120.8,苗栗縣,銅鑼鄉,2024/11/3
24.43,120.72,苗栗縣,通霄鎮,2024/11/3
24.48,120.72,苗栗縣,通霄鎮,2024/11/2
24.6,120.74,苗栗縣,後龍鎮,2024/11/2
24.53,120.77,苗栗縣,西湖鄉,2024/11/2
24.38,120.77,苗栗縣,三義鄉,2024/11/2
24.53,120.77,苗栗縣,西湖鄉,2024/11/2
24.43,120.72,苗栗縣,通霄鎮,2024/11/1
24.55,120.74,苗栗縣,西湖鄉,2024/10/31
24.52,120.68,苗栗縣,通霄鎮,2024/10/30
24.56,120.77,苗栗縣,苗栗市,2024/10/30
24.6,120.74,苗栗縣,後龍鎮,2024/10/30
24.5,120.7,苗栗縣,通霄鎮,2024/10/30
24.62,120.87,苗栗縣,造橋鄉,2024/10/30
24.52,120.68,苗栗縣,通霄鎮,2024/10/29
24.57,120.74,苗栗縣,後龍鎮,2024/10/29
24.45,120.8,苗栗縣,銅鑼鄉,2024/10/29
24.46,120.68,苗栗縣,通霄鎮,2024/10/28
24.55,120.83,苗栗縣,苗栗市,2024/10/27
24.47,120.74,苗栗縣,通霄鎮,2024/10/27
24.59,120.74,苗栗縣,後龍鎮,2024/10/27
24.43,120.72,苗栗縣,通霄鎮,2024/10/26
24.48,120.75,苗栗縣,通霄鎮,2024/10/26
24.5,120.7,苗栗縣,通霄鎮,2024/10/25
24.59,120.73,苗栗縣,後龍鎮,2024/10/24
24.48,120.73,苗栗縣,通霄鎮,2024/10/23
24.58,120.74,苗栗縣,後龍鎮,2024/10/23
24.49,120.74,苗栗縣,通霄鎮,2024/10/23
24.38,120.71,苗栗縣,苑裡鎮,2024/10/23
24.45,120.8,苗栗縣,銅鑼鄉,2024/10/23
24.53,120.77,苗栗縣,西湖鄉,2024/10/23
24.51,120.69,苗栗縣,通霄鎮,2024/10/22
24.48,120.73,苗栗縣,通霄鎮,2024/10/22
24.55,120.83,苗栗縣,苗栗市,2024/10/22
24.5,120.7,苗栗縣,通霄鎮,2024/10/21
24.55,120.81,苗栗縣,苗栗市,2024/10/21
24.59,120.73,苗栗縣,後龍鎮,2024/10/21
24.38,120.77,苗栗縣,三義鄉,2024/10/20
24.55,120.83,苗栗縣,苗栗市,2024/10/19
24.52,120.73,苗栗縣,通霄鎮,2024/10/18
24.55,120.83,苗栗縣,苗栗市,2024/10/18
24.52,120.73,苗栗縣,通霄鎮,2024/10/17
24.52,120.68,苗栗縣,通霄鎮,2024/10/17
24.53,120.77,苗栗縣,西湖鄉,2024/10/16
24.5,120.7,苗栗縣,通霄鎮,2024/10/16
24.56,120.77,苗栗縣,苗栗市,2024/10/16
24.59,120.73,苗栗縣,後龍鎮,2024/10/16
24.58,120.74,苗栗縣,後龍鎮,2024/10/16
24.56,120.81,苗栗縣,苗栗市,2024/10/15
24.52,120.68,苗栗縣,通霄鎮,2024/10/15
24.58,120.73,苗栗縣,後龍鎮,2024/10/15
24.38,120.71,苗栗縣,苑裡鎮,2024/10/14
24.45,120.82,苗栗縣,銅鑼鄉,2024/10/14
24.57,120.74,苗栗縣,後龍鎮,2024/10/14
24.57,120.74,苗栗縣,後龍鎮,2024/10/13
24.55,120.71,苗栗縣,通霄鎮,2024/10/12
24.57,120.74,苗栗縣,後龍鎮,2024/10/12
24.38,120.79,苗栗縣,三義鄉,2024/10/11
24.56,120.77,苗栗縣,苗栗市,2024/10/11
24.57,120.74,苗栗縣,後龍鎮,2024/10/11
24.54,120.7,苗栗縣,通霄鎮,2024/10/10
24.59,120.71,苗栗縣,後龍鎮,2024/10/10
24.38,120.79,苗栗縣,三義鄉,2024/10/10
24.59,120.73,苗栗縣,後龍鎮,2024/10/10
24.58,120.74,苗栗縣,後龍鎮,2024/10/10
24.59,120.71,苗栗縣,後龍鎮,2024/10/9
24.55,120.75,苗栗縣,西湖鄉,2024/10/9
